,id,userId,stockId,groupId,semesterId,timestamp,price
18386,18627,151,8,12,2,2022-09-08 20:10:17,20.0
18390,18631,377,11,6,2,2022-09-08 20:33:12,18.0
18405,18646,329,52,9,2,2022-09-08 21:17:56,19.0
18406,18647,81,54,12,2,2022-09-08 21:20:55,19.0
18407,18648,98,8,12,2,2022-09-08 21:24:08,20.0
18409,18650,96,8,12,2,2022-09-08 21:35:43,20.0
18412,18653,151,8,12,2,2022-09-08 21:46:03,20.0
18416,18657,314,8,12,2,2022-09-08 21:51:06,20.0
18421,18662,113,8,12,2,2022-09-08 21:56:40,20.0
18423,18664,329,8,12,2,2022-09-08 21:59:59,20.0
18431,18672,96,54,12,2,2022-09-08 22:12:21,19.0
18438,18679,91,8,12,2,2022-09-08 22:20:42,20.0
18450,18691,268,8,6,2,2022-09-08 22:56:30,20.0
18453,18694,314,8,12,2,2022-09-08 23:06:20,20.0
18461,18702,504,75,27,2,2022-09-08 23:22:37,22.0
18486,18727,151,8,12,2,2022-09-08 23:42:08,20.0
18492,18733,81,8,12,2,2022-09-08 23:48:53,20.0
18493,18734,282,14,24,2,2022-09-08 23:52:33,18.0
18507,18748,282,14,24,2,2022-09-09 00:24:42,18.0
18518,18759,119,40,21,2,2022-09-09 00:36:11,15.0
18521,18762,436,40,21,2,2022-09-09 00:42:21,15.0
18525,18766,91,54,12,2,2022-09-09 00:52:08,19.0
18531,18772,314,8,12,2,2022-09-09 01:01:39,20.0
18550,18791,96,54,12,2,2022-09-09 01:17:48,19.0
18551,18792,96,54,12,2,2022-09-09 01:17:48,19.0
18552,18793,96,54,12,2,2022-09-09 01:17:48,19.0
18553,18794,96,54,12,2,2022-09-09 01:17:48,19.0
18574,18815,314,8,12,2,2022-09-09 02:22:30,20.0
18588,18829,91,54,12,2,2022-09-09 02:45:14,19.0
18597,18838,396,52,9,2,2022-09-09 03:04:49,19.0
18605,18846,170,8,11,2,2022-09-09 08:15:59,20.0
18606,18847,226,8,23,2,2022-09-09 08:58:59,20.0
18607,18848,226,8,23,2,2022-09-09 08:58:59,20.0
18610,18851,230,8,23,2,2022-09-09 08:59:24,20.0
18611,18852,230,8,23,2,2022-09-09 08:59:24,20.0
18612,18853,276,14,11,2,2022-09-09 09:19:35,18.0
18613,18854,113,8,12,2,2022-09-09 09:53:52,20.0
18614,18855,171,8,11,2,2022-09-09 10:16:39,20.0
18615,18856,71,44,30,2,2022-09-09 10:21:29,19.0
18629,18870,331,8,6,2,2022-09-09 10:48:19,20.0
18634,18875,282,14,24,2,2022-09-09 11:31:08,18.0
18635,18876,794,158,9,2,2022-09-09 11:37:30,18.0
18641,18882,587,8,6,2,2022-09-09 11:52:28,20.0
18642,18883,277,8,6,2,2022-09-09 11:56:21,20.0
18643,18884,113,8,12,2,2022-09-09 12:02:08,20.0
18644,18885,170,14,11,2,2022-09-09 12:16:25,18.0
18651,18892,343,54,6,2,2022-09-09 12:19:47,20.0
18652,18893,343,8,6,2,2022-09-09 12:21:26,20.0
18653,18894,651,8,11,2,2022-09-09 12:35:34,20.0
18654,18895,651,8,11,2,2022-09-09 12:35:34,20.0
18655,18896,355,43,29,2,2022-09-09 12:41:22,19.0
18656,18897,89,43,30,2,2022-09-09 12:41:59,19.0
18657,18898,92,8,12,2,2022-09-09 12:50:28,20.0
18658,18899,455,43,29,2,2022-09-09 12:50:46,19.0
18659,18900,455,43,29,2,2022-09-09 12:50:46,19.0
18660,18901,113,8,12,2,2022-09-09 12:52:37,20.0
18663,18904,191,14,11,2,2022-09-09 13:04:45,18.0
18664,18905,12,21,11,2,2022-09-09 13:04:58,21.0
18669,18911,9,43,1,2,2022-09-09 13:29:16,19.0
18670,18912,201,8,11,2,2022-09-09 13:29:26,20.0
18672,18914,186,8,11,2,2022-09-09 13:37:05,20.0
18674,18916,286,21,11,2,2022-09-09 13:38:13,21.0
18676,18918,492,14,1,2,2022-09-09 13:49:01,18.0
18678,18920,263,43,29,2,2022-09-09 13:56:09,19.0
18679,18921,4,43,1,2,2022-09-09 14:02:52,19.0
18680,18922,466,43,1,2,2022-09-09 14:04:00,19.0
18681,18923,6,14,1,2,2022-09-09 14:04:55,18.0
18684,18926,794,78,9,2,2022-09-09 14:07:32,19.0
18687,18929,681,43,7,2,2022-09-09 14:13:02,20.0
18690,18932,160,7,7,2,2022-09-09 14:21:47,24.0
18691,18933,157,7,7,2,2022-09-09 14:22:08,24.0
18692,18934,9,43,1,2,2022-09-09 14:25:23,19.0
18707,18949,213,7,29,2,2022-09-09 15:08:42,18.0
18710,18952,407,43,29,2,2022-09-09 15:22:15,19.0
18711,18953,407,43,29,2,2022-09-09 15:22:15,19.0
18713,18955,675,8,7,2,2022-09-09 15:30:10,20.0
18714,18956,675,7,7,2,2022-09-09 15:30:10,24.0
18718,18960,141,52,29,2,2022-09-09 15:48:30,18.0
18719,18961,114,14,11,2,2022-09-09 15:48:52,18.0
18721,18963,128,21,11,2,2022-09-09 16:00:58,21.0
18730,18972,129,8,11,2,2022-09-09 16:29:43,20.0
18731,18973,129,8,11,2,2022-09-09 16:29:43,20.0
18739,18981,16,8,1,2,2022-09-09 16:57:07,19.0
18740,18982,466,43,1,2,2022-09-09 16:57:51,19.0
18743,18985,6,9,1,2,2022-09-09 17:01:55,10.0
18744,18986,492,9,1,2,2022-09-09 17:05:13,10.0
18747,18989,435,105,6,2,2022-09-09 17:29:33,18.0
18751,18993,329,8,12,2,2022-09-09 17:53:27,20.0
18752,18994,108,8,12,2,2022-09-09 17:56:32,20.0
18762,19004,151,8,12,2,2022-09-09 18:43:32,20.0
18766,19008,329,8,9,2,2022-09-09 19:26:19,19.0
18781,19023,141,52,29,2,2022-09-09 20:40:06,18.0
18782,19024,151,8,12,2,2022-09-09 20:42:00,20.0
18834,19076,113,8,12,2,2022-09-10 08:56:29,20.0
18835,19077,92,8,12,2,2022-09-10 08:56:36,20.0
18836,19078,98,8,12,2,2022-09-10 08:57:41,20.0
18837,19079,113,8,12,2,2022-09-10 10:26:15,20.0
18838,19080,10,14,1,2,2022-09-10 11:03:16,18.0
18839,19081,327,14,11,2,2022-09-10 11:52:52,18.0
18840,19082,129,8,11,2,2022-09-10 11:55:32,20.0
18842,19084,381,136,19,2,2022-09-10 12:57:56,17.0
18843,19085,201,8,11,2,2022-09-10 12:58:31,20.0
18844,19086,162,21,11,2,2022-09-10 13:03:06,21.0
